preprocessing,k1,b,query_id,precision_at_10,recall_at_10,average_precision
without_stopwords_with_stemming,0.5,0.0,40,0.2,0.16666666666666666,0.13517584329450105
without_stopwords_with_stemming,0.5,0.0,41,0.3,1.0,0.7666666666666666
without_stopwords_with_stemming,0.5,0.0,42,0.0,0.0,0.08834490366267923
without_stopwords_with_stemming,0.5,0.0,43,0.2,0.3333333333333333,0.3791234769958174
without_stopwords_with_stemming,0.5,0.0,44,0.0,0.0,0.0020034342315509426
without_stopwords_with_stemming,0.5,0.0,45,0.2,0.16666666666666666,0.19395072493641738
without_stopwords_with_stemming,0.5,0.0,46,0.6,0.4,0.4315011831308774
without_stopwords_with_stemming,0.5,0.0,47,0.5,0.35714285714285715,0.40744409417408195
without_stopwords_with_stemming,0.5,0.0,48,0.4,0.36363636363636365,0.3284584441976718
without_stopwords_with_stemming,0.5,0.0,49,0.0,0.0,0.057800224466891134
without_stopwords_with_stemming,0.5,0.0,5,0.3,0.75,0.5592105263157894
without_stopwords_with_stemming,0.5,0.0,50,0.0,0.0,0.028122618354199297
without_stopwords_with_stemming,0.5,0.0,51,0.4,0.4,0.31457664003523134
without_stopwords_with_stemming,0.5,0.0,52,0.3,0.75,0.2407268170426065
without_stopwords_with_stemming,0.5,0.0,53,0.3,0.3,0.3098969848831435
without_stopwords_with_stemming,0.5,0.0,54,0.1,0.1111111111111111,0.12519233486166
without_stopwords_with_stemming,0.5,0.0,55,0.1,0.1,0.13377953528762446
without_stopwords_with_stemming,0.5,0.0,56,0.2,0.2,0.12260607030508393
without_stopwords_with_stemming,0.5,0.0,57,0.0,0.0,0.06243121866373064
without_stopwords_with_stemming,0.5,0.0,58,0.1,0.1111111111111111,0.11638135976546218
without_stopwords_with_stemming,0.5,0.0,59,0.2,0.5,0.12205329297376627
without_stopwords_with_stemming,0.5,0.0,6,0.1,0.25,0.11964285714285713
without_stopwords_with_stemming,0.5,0.0,60,0.3,0.6,0.30846925869347397
without_stopwords_with_stemming,0.5,0.0,61,0.2,0.4,0.41112440191387556
without_stopwords_with_stemming,0.5,0.0,62,0.0,0.0,0.007329680605359927
without_stopwords_with_stemming,0.5,0.0,63,0.0,0.0,0.0470959595959596
without_stopwords_with_stemming,0.5,0.0,64,0.1,0.5,0.52
without_stopwords_with_stemming,0.5,0.0,65,0.1,0.06666666666666667,0.09798563941815418
without_stopwords_with_stemming,0.5,0.0,66,0.1,0.2,0.05243861686737168
without_stopwords_with_stemming,0.5,0.0,67,0.2,0.14285714285714285,0.16688355853506728
without_stopwords_with_stemming,0.5,0.0,68,0.1,0.2,0.06664293430353088
without_stopwords_with_stemming,0.5,0.0,69,0.1,0.2,0.03906105963583414
without_stopwords_with_stemming,0.5,0.0,7,0.2,0.4,0.12029246344206972
without_stopwords_with_stemming,0.5,0.0,70,0.2,0.2,0.11090881895211373
without_stopwords_with_stemming,0.5,0.0,71,0.1,0.125,0.10374596004466463
without_stopwords_with_stemming,0.5,0.0,72,0.1,0.058823529411764705,0.0783265051038321
without_stopwords_with_stemming,0.5,0.0,73,0.7,0.35,0.369838790898303
without_stopwords_with_stemming,0.5,0.0,74,0.1,0.16666666666666666,0.17848361158662665
